Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
STRT,Strattec Security Corporation,30.19,$116.52M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/strt
STRS,Stratus Properties Inc.,22.95,$188.42M,n/a,Consumer Services,Homebuilding,https://old.nasdaq.com/symbol/strs
STRM,"Streamline Health Solutions, Inc.",1.5,$47.44M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/strm
SBBP,Strongbridge Biopharma plc,2.05,$137.85M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sbbp
SUMR,"Summer Infant, Inc.",20.06,$42.41M,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/sumr
SMMF,"Summit Financial Group, Inc.",17.41,$225.15M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/smmf
SSBI,Summit State Bank,13.25,$80.42M,2006,n/a,n/a,https://old.nasdaq.com/symbol/ssbi
SMMT,Summit Therapeutics Inc. ,3.25,$218.5M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/smmt
WISA,"Summit Wireless Technologies, Inc.",1.96,$15.33M,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/wisa
SUMO,"Sumo Logic, Inc.",20.57,$2.03B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sumo
SNBP,"Sun BioPharma, Inc.",3.02,$29.14M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/snbp
SNDE,Sundance Energy Inc. ,1.86,$12.79M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/snde
SNDL,Sundial Growers Inc.,0.25,$62.91M,2019,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/sndl
SNSS,"Sunesis Pharmaceuticals, Inc.",1.13,$20.45M,2005,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/snss
STKL,"SunOpta, Inc.",7.21,$648.45M,n/a,Consumer Services,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/stkl
SPWR,SunPower Corporation,20.33,$3.46B,2005,Technology,Semiconductors,https://old.nasdaq.com/symbol/spwr
